"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"M","Charlie Colkett",2500,"CHE@SUN 10:00AM ET",0,"CHE"
"M","Jake Gray",2500,"STK@CRY 10:00AM ET",0,"CRY"
"M","Sullay Kaikai",2500,"STK@CRY 10:00AM ET",0,"CRY"
"D","Chancel Mbemba",2500,"NEW@AVL 10:00AM ET",4.548,"NEW"
"M","George Dobson",2500,"SWA@WHU 10:00AM ET",0,"WHU"
"GK","Bradley Watkins",2500,"NEW@AVL 10:00AM ET",0,"AVL"
"GK","Freddie Woodman",2500,"NEW@AVL 10:00AM ET",0,"NEW"
"M","Kasey Palmer",2500,"CHE@SUN 10:00AM ET",0,"CHE"
"M","Jordan Lyden",2500,"NEW@AVL 10:00AM ET",1.333,"AVL"
"M","Matt Grimes",2500,"SWA@WHU 10:00AM ET",1.500,"SWA"
"GK","Max Stryjek",2500,"CHE@SUN 10:00AM ET",0,"SUN"
"M","Kevin Toner",2500,"NEW@AVL 10:00AM ET",6.000,"AVL"
"M","Josh Cullen",2500,"SWA@WHU 10:00AM ET",0.000,"WHU"
"M","Tom Davies",2500,"EVE@LEI 12:30PM ET",0.500,"EVE"
"M","Tyler Roberts",2500,"WBA@BOU 10:00AM ET",0,"WBA"
"GK","Jindrich Stanek",2500,"EVE@LEI 12:30PM ET",0,"EVE"
"M","Andre Olukanmi",2500,"EVE@LEI 12:30PM ET",0,"LEI"
"M"," Moha",2500,"STK@CRY 10:00AM ET",0,"STK"
"M","Marcus Browne",2500,"SWA@WHU 10:00AM ET",0,"WHU"
"M","Daniel James",2500,"SWA@WHU 10:00AM ET",0,"SWA"
"M","Keinan Davis",2500,"NEW@AVL 10:00AM ET",0,"AVL"
"M","Luke Dreher",2500,"STK@CRY 10:00AM ET",0,"CRY"
"D","John Terry",2400,"CHE@SUN 10:00AM ET",3.204,"CHE"
"D","Joleon Lescott",2400,"NEW@AVL 10:00AM ET",3.550,"AVL"
"D","Glen Johnson",2400,"STK@CRY 10:00AM ET",7.400,"STK"
"D","Younes Kaboul",2400,"CHE@SUN 10:00AM ET",4.357,"SUN"
"D","Angelo Ogbonna",2400,"SWA@WHU 10:00AM ET",3.404,"WHU"
"D","James Chester",2400,"WBA@BOU 10:00AM ET",4.250,"WBA"
"D","Federico Fernandez",2400,"SWA@WHU 10:00AM ET",4.833,"SWA"
"D","Jamaal Lascelles",2400,"NEW@AVL 10:00AM ET",2.853,"NEW"
"D","Matthew Pennington",2400,"EVE@LEI 12:30PM ET",0.500,"EVE"
"D","Phil Jagielka",2300,"EVE@LEI 12:30PM ET",4.525,"EVE"
"D","Fabricio Coloccini",2300,"NEW@AVL 10:00AM ET",3.981,"NEW"
"D","Kieran Richardson",2300,"NEW@AVL 10:00AM ET",4.091,"AVL"
"D","Gareth McAuley",2300,"WBA@BOU 10:00AM ET",3.766,"WBA"
"D","Emmanuel Eboue",2300,"CHE@SUN 10:00AM ET",0,"SUN"
"D","Rhoys Wiggins",2300,"WBA@BOU 10:00AM ET",0,"BOU"
"D","Ryan Shawcross",2300,"STK@CRY 10:00AM ET",3.306,"STK"
"D","Kyle Naughton",2300,"SWA@WHU 10:00AM ET",5.577,"SWA"
"D","Martin Kelly",2300,"STK@CRY 10:00AM ET",4.667,"CRY"
"D","Matt Miazga",2300,"CHE@SUN 10:00AM ET",5.457,"CHE"
"D","Sylvain Distin",2200,"WBA@BOU 10:00AM ET",2.375,"BOU"
"D","James Collins",2200,"SWA@WHU 10:00AM ET",2.868,"WHU"
"D","Billy Jones",2200,"CHE@SUN 10:00AM ET",6.196,"SUN"
"D","Steven Taylor",2200,"NEW@AVL 10:00AM ET",2.056,"NEW"
"D","Jonas Olsson",2200,"WBA@BOU 10:00AM ET",2.442,"WBA"
"D","Jores Okore",2200,"NEW@AVL 10:00AM ET",4.167,"AVL"
"D","Stephen Kingsley",2200,"SWA@WHU 10:00AM ET",5.500,"SWA"
"D","Kurt Zouma",2200,"CHE@SUN 10:00AM ET",4.759,"CHE"
"D","Brendan Galloway",2200,"EVE@LEI 12:30PM ET",6.600,"EVE"
"D","Wes Brown",2100,"CHE@SUN 10:00AM ET",1.583,"SUN"
"D","John O'Shea",2100,"CHE@SUN 10:00AM ET",2.260,"SUN"
"D","Paddy McCarthy",2100,"STK@CRY 10:00AM ET",0,"CRY"
"D","Marc Wilson",2100,"STK@CRY 10:00AM ET",2.500,"STK"
"D","Marcin Wasilewski",2100,"EVE@LEI 12:30PM ET",1.750,"LEI"
"D","Sebastien Pocognoli",2100,"WBA@BOU 10:00AM ET",9.500,"WBA"
"D","Jordi Amat",2100,"SWA@WHU 10:00AM ET",2.250,"SWA"
"D","Massadio Haidara",2100,"NEW@AVL 10:00AM ET",7.429,"NEW"
"D","Jordan Amavi",2100,"NEW@AVL 10:00AM ET",11.250,"AVL"
"D","Kevin Mbabu",2100,"NEW@AVL 10:00AM ET",5.000,"NEW"
"D","Tyias Browning",2100,"EVE@LEI 12:30PM ET",4.000,"EVE"
"D","Tyrone Mings",2100,"WBA@BOU 10:00AM ET",1.000,"BOU"
"D","Reece Oxford",2100,"SWA@WHU 10:00AM ET",1.563,"WHU"
"D","Tony Hibbert",2000,"EVE@LEI 12:30PM ET",4.500,"EVE"
"D","Brede Hangeland",2000,"STK@CRY 10:00AM ET",3.357,"CRY"
"D","Joey O'Brien",2000,"SWA@WHU 10:00AM ET",0,"WHU"
"D","Stephane Zubar",2000,"WBA@BOU 10:00AM ET",0,"BOU"
"D","Valentin Roberge",2000,"CHE@SUN 10:00AM ET",0,"SUN"
"D","Kyle Bartley",2000,"SWA@WHU 10:00AM ET",2.400,"SWA"
"D","Adam Matthews",2000,"CHE@SUN 10:00AM ET",3.000,"SUN"
"D","Liam Moore",2000,"EVE@LEI 12:30PM ET",0,"LEI"
"D","Doneil Henry",2000,"SWA@WHU 10:00AM ET",0,"WHU"
"D","Stephen Hendrie",2000,"SWA@WHU 10:00AM ET",0,"WHU"
"D","Ezekiel Fryers",2000,"STK@CRY 10:00AM ET",0,"CRY"
"D","Luke Croll",2000,"STK@CRY 10:00AM ET",0,"CRY"
"D","Tom Beadling",2000,"CHE@SUN 10:00AM ET",0,"SUN"
"D","Dionatan Teixeira",2000,"STK@CRY 10:00AM ET",1.000,"STK"
"D","Kyle Knoyle",2000,"SWA@WHU 10:00AM ET",0,"WHU"
"D","Ola Aina",2000,"CHE@SUN 10:00AM ET",0,"CHE"
"D","Shaun Donnellan",2000,"WBA@BOU 10:00AM ET",0,"WBA"
"D","Josh Robson",2000,"CHE@SUN 10:00AM ET",0,"SUN"
"D","Ben Chilwell",2000,"EVE@LEI 12:30PM ET",0,"LEI"
"D","Callum Connolly",2000,"EVE@LEI 12:30PM ET",2.000,"EVE"
"D","Easah Suliman",2000,"NEW@AVL 10:00AM ET",0,"AVL"
"D","Callum Williams",2000,"NEW@AVL 10:00AM ET",0,"NEW"
"D","Jake Clarke-Salter",2000,"CHE@SUN 10:00AM ET",0.000,"CHE"
"D","Jamie Sterry",2000,"NEW@AVL 10:00AM ET",0,"NEW"
"D","Liam Shephard",2000,"SWA@WHU 10:00AM ET",0,"SWA"
"D","Callum Buckley",2000,"WBA@BOU 10:00AM ET",0,"BOU"
"D","Mason Holgate",2000,"EVE@LEI 12:30PM ET",0,"EVE"
